A* time stamp:
73 ms, start [7; 88], end [64; 72]
51 ms, start [8; 83], end [71; 21]
175 ms, start [92; 91], end [82; 20]
19 ms, start [18; 18], end [11; 64]
66 ms, start [20; 15], end [66; 89]
13 ms, start [61; 58], end [74; 20]
228 ms, start [21; 0], end [77; 69]
1 ms, start [70; 32], end [63; 52]
57 ms, start [63; 69], end [82; 3]
17 ms, start [59; 6], end [74; 12]
1 ms, start [19; 45], end [50; 37]
1 ms, start [62; 17], end [52; 24]
2 ms, start [93; 35], end [98; 79]
10 ms, start [50; 64], end [19; 80]
77 ms, start [8; 68], end [77; 64]
74 ms, start [60; 53], end [26; 10]
2 ms, start [55; 86], end [50; 48]
0 ms, start [69; 69], end [89; 64]
203 ms, start [89; 65], end [25; 77]
87 ms, start [7; 60], end [49; 88]
46 ms, start [36; 78], end [98; 47]
2 ms, start [86; 33], end [88; 11]
56 ms, start [98; 66], end [34; 63]
43 ms, start [92; 57], end [41; 12]
1 ms, start [30; 37], end [18; 61]
4 ms, start [47; 25], end [62; 2]
94 ms, start [85; 24], end [12; 64]
16 ms, start [32; 97], end [1; 20]
10 ms, start [55; 94], end [94; 14]
43 ms, start [41; 41], end [33; 15]
30 ms, start [30; 57], end [59; 42]
22 ms, start [49; 59], end [88; 8]
31 ms, start [16; 83], end [95; 80]
3 ms, start [11; 80], end [9; 98]
2 ms, start [96; 68], end [96; 23]
66 ms, start [33; 4], end [28; 81]
95 ms, start [90; 56], end [15; 39]
8 ms, start [39; 41], end [56; 41]
1 ms, start [72; 60], end [85; 86]
25 ms, start [77; 0], end [51; 76]
123 ms, start [22; 81], end [81; 2]
74 ms, start [67; 73], end [60; 1]
169 ms, start [79; 77], end [23; 81]
513 ms, start [81; 70], end [11; 30]
7 ms, start [58; 49], end [79; 12]
1 ms, start [88; 67], end [62; 71]
6 ms, start [52; 63], end [93; 82]
54 ms, start [7; 11], end [53; 57]
13 ms, start [14; 17], end [17; 44]
243 ms, start [60; 50], end [28; 7]
95 ms, start [8; 17], end [34; 46]
14 ms, start [83; 9], end [15; 18]
221 ms, start [86; 73], end [21; 30]
3 ms, start [57; 40], end [70; 69]
67 ms, start [67; 52], end [6; 37]
7 ms, start [71; 31], end [89; 30]
6 ms, start [96; 33], end [57; 8]
136 ms, start [71; 37], end [16; 63]
11 ms, start [70; 44], end [74; 72]
5 ms, start [25; 36], end [12; 75]
103 ms, start [19; 7], end [66; 38]
0 ms, start [63; 41], end [72; 49]
54 ms, start [67; 27], end [78; 78]
2 ms, start [40; 50], end [28; 38]
72 ms, start [45; 57], end [31; 96]
89 ms, start [40; 34], end [96; 81]
87 ms, start [26; 79], end [66; 1]
17 ms, start [43; 30], end [12; 46]
522 ms, start [27; 7], end [48; 92]
158 ms, start [64; 47], end [6; 64]
36 ms, start [29; 70], end [39; 85]
166 ms, start [52; 94], end [23; 57]
2 ms, start [81; 40], end [87; 60]
141 ms, start [82; 95], end [53; 19]
39 ms, start [81; 49], end [57; 5]
39 ms, start [13; 49], end [71; 20]
49 ms, start [58; 54], end [94; 34]
6 ms, start [34; 29], end [69; 2]
133 ms, start [8; 50], end [76; 84]
36 ms, start [8; 28], end [49; 41]
42 ms, start [34; 83], end [0; 58]
146 ms, start [84; 51], end [0; 55]
309 ms, start [6; 96], end [62; 4]
4 ms, start [97; 30], end [80; 46]
82 ms, start [50; 52], end [5; 17]
23 ms, start [17; 78], end [64; 73]
25 ms, start [61; 48], end [15; 44]
7 ms, start [79; 19], end [50; 1]
35 ms, start [8; 98], end [75; 95]
1 ms, start [1; 47], end [13; 36]
51 ms, start [38; 53], end [89; 53]
113 ms, start [40; 0], end [34; 32]
3 ms, start [7; 10], end [30; 4]
129 ms, start [73; 75], end [12; 43]
38 ms, start [32; 48], end [4; 12]
42 ms, start [67; 3], end [12; 25]
21 ms, start [52; 84], end [80; 94]
20 ms, start [60; 54], end [48; 95]
158 ms, start [2; 7], end [81; 73]
1 ms, start [45; 50], end [32; 76]
Direction Based A* time stamp:
84 ms, start [7; 88], end [64; 72]
12 ms, start [8; 83], end [71; 21]
29 ms, start [92; 91], end [82; 20]
32 ms, start [18; 18], end [11; 64]
7 ms, start [20; 15], end [66; 89]
5 ms, start [61; 58], end [74; 20]
54 ms, start [21; 0], end [77; 69]
2 ms, start [70; 32], end [63; 52]
85 ms, start [63; 69], end [82; 3]
20 ms, start [59; 6], end [74; 12]
1 ms, start [19; 45], end [50; 37]
1 ms, start [62; 17], end [52; 24]
3 ms, start [93; 35], end [98; 79]
12 ms, start [50; 64], end [19; 80]
58 ms, start [8; 68], end [77; 64]
73 ms, start [60; 53], end [26; 10]
6 ms, start [55; 86], end [50; 48]
1 ms, start [69; 69], end [89; 64]
130 ms, start [89; 65], end [25; 77]
162 ms, start [7; 60], end [49; 88]
32 ms, start [36; 78], end [98; 47]
2 ms, start [86; 33], end [88; 11]
54 ms, start [98; 66], end [34; 63]
20 ms, start [92; 57], end [41; 12]
1 ms, start [30; 37], end [18; 61]
